name_unoriented,determinant,num_crossings,matrix_zero,components,jones_factorable
L12a358,0,12,True,2,
L12a359,0,12,True,2,
L12a360,0,12,False,2,
L12a361,0,12,False,2,
L12a362,0,12,True,2,
L12a363,0,12,False,2,
L12a364,0,12,False,2,
L12a365,0,12,True,2,
L12a366,0,12,False,2,
L12a367,0,12,False,2,
L12a368,0,12,True,2,
L12a369,0,12,False,2,
L12a370,0,12,False,2,
L12a371,0,12,True,2,
L12a372,0,12,True,2,
L12a373,0,12,True,2,
L12a374,0,12,True,2,
L12a375,0,12,True,2,
L12a376,0,12,True,2,
L12a377,0,12,False,2,
L12a378,0,12,False,2,
L12a379,0,12,False,2,
L12a380,0,12,True,2,
L12a381,0,12,True,2,
L12a382,0,12,True,2,
L12a383,0,12,False,2,
L12a384,0,12,False,2,
L12a385,0,12,True,2,
L12a386,0,12,False,2,
L12a387,0,12,False,2,
L12a388,0,12,True,2,
L12a389,0,12,True,2,
L12a390,0,12,True,2,
L12a391,0,12,True,2,
L12a392,0,12,False,2,
L12a393,0,12,False,2,
L12a394,0,12,False,2,
L12a395,0,12,False,2,
L12a396,0,12,False,2,
L12a397,0,12,True,2,
L12a398,0,12,True,2,
L12a399,0,12,True,2,
L12a400,0,12,False,2,
L12a401,0,12,False,2,
L12a402,0,12,True,2,
L12a403,0,12,True,2,
L12a404,0,12,True,2,
L12a405,0,12,True,2,
L12a406,0,12,True,2,
L12a407,0,12,False,2,
L12a408,0,12,True,2,
L12a409,0,12,False,2,
L12a410,0,12,False,2,
L12a411,0,12,False,2,
L12a412,0,12,True,2,
L12a413,0,12,False,2,
L12a414,0,12,False,2,
L12a415,0,12,True,2,
L12a416,0,12,False,2,
L12a417,0,12,False,2,
L12a418,0,12,False,2,
L12a419,0,12,False,2,
L12a420,0,12,False,2,
L12a421,0,12,False,2,
L12a422,0,12,False,2,
L12a423,0,12,False,2,
L12a424,0,12,False,2,
L12a425,0,12,False,2,
L12a426,0,12,False,2,
L12a427,0,12,False,2,
L12a428,0,12,False,2,
L12a429,0,12,False,2,
L12a430,0,12,False,2,
L12a431,0,12,False,2,
L12a432,0,12,False,2,
L12a433,0,12,False,2,
L12a434,0,12,False,2,
L12a435,0,12,False,2,
L12a436,0,12,False,2,
L12a437,0,12,False,2,
L12a438,0,12,False,2,
L12a439,0,12,False,2,
L12a440,0,12,False,2,
L12a441,0,12,False,2,
L12a442,0,12,False,2,
L12a443,0,12,False,2,
L12a444,0,12,False,2,
L12a445,0,12,False,2,
L12a446,0,12,False,2,
L12a447,0,12,False,2,
L12a448,0,12,False,2,
L12a449,0,12,False,2,
L12a450,0,12,False,2,
L12a451,0,12,False,2,
L12a452,0,12,False,2,
L12a453,0,12,False,2,
L12a454,0,12,False,2,
L12a455,0,12,False,2,
L12a456,0,12,False,2,
L12a457,0,12,False,2,
L12a458,0,12,False,2,
L12a459,0,12,False,2,
L12a460,0,12,False,2,
L12a461,0,12,False,2,
L12a462,0,12,False,2,
L12a463,0,12,False,2,
L12a464,0,12,False,2,
L12a465,0,12,False,2,
L12a466,0,12,False,2,
L12a467,0,12,False,2,
L12a468,0,12,False,2,
L12a469,0,12,False,2,
L12a470,0,12,False,2,
L12a471,0,12,False,2,
L12a472,0,12,False,2,
L12a473,0,12,False,2,
L12a474,0,12,False,2,
L12a475,0,12,False,2,
L12a476,0,12,False,2,
L12a477,0,12,False,2,
L12a478,0,12,False,2,
L12a479,0,12,False,2,
L12a480,0,12,False,2,
L12a481,0,12,False,2,
L12a482,0,12,False,2,
L12a483,0,12,False,2,
L12a484,0,12,False,2,
L12a485,0,12,False,2,
L12a486,0,12,False,2,
L12a487,0,12,False,2,
L12a488,0,12,False,2,
L12a489,0,12,False,2,
L12a490,0,12,False,2,
L12a491,0,12,False,2,
L12a492,0,12,False,2,
L12a493,0,12,False,2,
L12a494,0,12,False,2,
L12a495,0,12,False,2,
L12a496,0,12,False,2,
L12a497,0,12,False,2,
L12a498,0,12,False,2,
L12a499,0,12,False,2,
L12a500,0,12,False,2,
L12a501,0,12,False,2,
L12a502,0,12,False,2,
L12a503,0,12,False,2,
L12a504,0,12,False,2,
L12a505,0,12,False,2,
L12a506,0,12,False,2,
L12a507,0,12,False,2,
L12a508,0,12,False,2,
L12a509,0,12,False,2,
L12a510,0,12,False,2,
L12a511,0,12,False,2,
L12a512,0,12,False,2,
L12a513,0,12,False,2,
L12a514,0,12,False,2,
L12a515,0,12,False,2,
L12a516,0,12,False,2,
L12a517,0,12,False,2,
L12a518,0,12,False,2,
L12a519,0,12,False,2,
L12a520,0,12,False,2,
L12a521,0,12,False,2,
L12a522,0,12,False,2,
L12a523,0,12,False,2,
L12a524,0,12,False,2,
L12a525,0,12,False,2,
L12a526,0,12,False,2,
L12a527,0,12,False,2,
L12a528,0,12,False,2,
L12a529,0,12,False,2,
L12a530,0,12,False,2,
L12a531,0,12,False,2,
L12a532,0,12,False,2,
L12a533,0,12,False,2,
L12a534,0,12,False,2,
L12a535,0,12,False,2,
L12a536,0,12,False,2,
L12a537,0,12,False,2,
L12a538,0,12,False,2,
L12a539,0,12,False,2,
L12a540,0,12,False,2,
L12a541,0,12,False,2,
L12a542,0,12,False,2,
L12a543,0,12,False,2,
L12a544,0,12,False,2,
L12a545,0,12,False,2,
L12a546,0,12,False,2,
L12a547,0,12,False,2,
L12a548,0,12,False,2,
L12a549,0,12,False,2,
L12a550,0,12,False,2,
L12a551,0,12,False,2,
L12a552,0,12,False,2,
L12a553,0,12,False,2,
L12a554,0,12,False,2,
L12a555,0,12,False,2,
L12a556,0,12,False,2,
L12a557,0,12,False,2,
L12a558,0,12,False,2,
L12a559,0,12,False,2,
L12a560,0,12,False,2,
L12a561,0,12,False,2,
L12a562,0,12,False,2,
L12a563,0,12,False,2,
L12a564,0,12,False,2,
L12a565,0,12,False,2,
L12a566,0,12,False,2,
L12a567,0,12,False,2,
L12a568,0,12,False,2,
L12a569,0,12,False,2,
L12a570,0,12,False,2,
L12a571,0,12,False,2,
L12a572,0,12,False,2,
L12a573,0,12,False,2,
L12a574,0,12,False,2,
L12a575,0,12,False,2,
L12a576,0,12,False,2,
L12a577,0,12,False,2,
L12a578,0,12,False,2,
L12a579,0,12,False,2,
L12a580,0,12,False,2,
L12a581,0,12,False,2,
L12a582,0,12,False,2,
L12a583,0,12,False,2,
L12a584,0,12,False,2,
L12a585,0,12,False,2,
L12a586,0,12,False,2,
L12a587,0,12,False,2,
L12a588,0,12,False,2,
L12a589,0,12,False,2,
L12a590,0,12,False,2,
L12a591,0,12,False,2,
L12a592,0,12,False,2,
