,name_unoriented,matrix_zero
1804,L11a269,False
1806,L11a270,False
1808,L11a271,False
1810,L11a272,True
1812,L11a273,False
1814,L11a274,False
1816,L11a275,False
1818,L11a276,False
1820,L11a277,False
1822,L11a278,False
1824,L11a279,True
1826,L11a280,True
1828,L11a281,False
1830,L11a282,False
1832,L11a283,False
1834,L11a284,False
1836,L11a285,True
1838,L11a286,True
1840,L11a287,False
1842,L11a288,False
1844,L11a289,True
1846,L11a290,False
1848,L11a291,True
1850,L11a292,True
1852,L11a293,True
1854,L11a294,False
1856,L11a295,False
1858,L11a296,True
1860,L11a297,False
1862,L11a298,True
1864,L11a299,False
1866,L11a300,False
1868,L11a301,True
1870,L11a302,True
1872,L11a303,False
1874,L11a304,False
1876,L11a305,False
1878,L11a306,False
1880,L11a307,False
1882,L11a308,False
1884,L11a309,True
1886,L11a310,False
1888,L11a311,False
1890,L11a312,True
1892,L11a313,True
1894,L11a314,False
1896,L11a315,False
1898,L11a316,False
1900,L11a317,True
1902,L11a318,True
1904,L11a319,True
1906,L11a320,False
1908,L11a321,True
1910,L11a322,True
1912,L11a323,True
1914,L11a324,False
1916,L11a325,False
1918,L11a326,True
1920,L11a327,False
1922,L11a328,True
1924,L11a329,False
1926,L11a330,True
1928,L11a331,False
1930,L11a332,False
1932,L11a333,False
1934,L11a334,False
1936,L11a335,False
1938,L11a336,False
1940,L11a337,False
1942,L11a338,False
1944,L11a339,True
1946,L11a340,True
1948,L11a341,True
1950,L11a342,False
1952,L11a343,True
1954,L11a344,False
1956,L11a345,False
1958,L11a346,True
1960,L11a347,True
1962,L11a348,False
1964,L11a349,True
1966,L11a350,False
1968,L11a351,True
1970,L11a352,False
1972,L11a353,True
1974,L11a354,True
1976,L11a355,False
1978,L11a356,False
1980,L11a357,False
1982,L11a358,False
1984,L11a359,False
1986,L11a360,False
1988,L11a361,False
1990,L11a362,False
1992,L11a363,False
1994,L11a364,False
1996,L11a365,False
1998,L11a366,False
2000,L11a367,False
2002,L11a368,False
2004,L11a369,False
2006,L11a370,False
2008,L11a371,False
2010,L11a372,False
2012,L11a373,False
2014,L11a374,False
2016,L11a375,False
2018,L11a376,False
2020,L11a377,False
2022,L11a378,False
2024,L11a379,False
2026,L11a380,False
2028,L11a381,False
2030,L11a382,False
2032,L11a383,False
2034,L11a384,False
2036,L11a385,False
2040,L11a386,False
2044,L11a387,False
2048,L11a388,False
2052,L11a389,False
2056,L11a390,False
2060,L11a391,False
2064,L11a392,False
2068,L11a393,False
2072,L11a394,False
2076,L11a395,False
2080,L11a396,False
2084,L11a397,False
2088,L11a398,False
2092,L11a399,False
2096,L11a400,False
2100,L11a401,False
2104,L11a402,False
2108,L11a403,False
2112,L11a404,False
2116,L11a405,False
2120,L11a406,False
2124,L11a407,False
2128,L11a408,False
2132,L11a409,False
2136,L11a410,False
2140,L11a411,False
2144,L11a412,False
2148,L11a413,False
2152,L11a414,False
2156,L11a415,False
2160,L11a416,False
2164,L11a417,False
2168,L11a418,False
2172,L11a419,False
2176,L11a420,False
2180,L11a421,False
2184,L11a422,False
2188,L11a423,False
2192,L11a424,False
2196,L11a425,False
2200,L11a426,False
2204,L11a427,False
2208,L11a428,False
2212,L11a429,False
2216,L11a430,True
2220,L11a431,True
2224,L11a432,False
2228,L11a433,False
2232,L11a434,True
2236,L11a435,False
2240,L11a436,False
2244,L11a437,False
2248,L11a438,False
2252,L11a439,False
2256,L11a440,False
2260,L11a441,False
2264,L11a442,False
2268,L11a443,False
2272,L11a444,False
2276,L11a445,False
2280,L11a446,False
2284,L11a447,False
2288,L11a448,False
2292,L11a449,False
2296,L11a450,False
2300,L11a451,False
2304,L11a452,False
2308,L11a453,False
2312,L11a454,False
2316,L11a455,False
2320,L11a456,False
2324,L11a457,False
2328,L11a458,False
2332,L11a459,False
2336,L11a460,False
2340,L11a461,False
2344,L11a462,False
2348,L11a463,False
2352,L11a464,True
2356,L11a465,True
2360,L11a466,False
2364,L11a467,False
2368,L11a468,False
2372,L11a469,False
2376,L11a470,False
2380,L11a471,False
2384,L11a472,False
2388,L11a473,False
2392,L11a474,False
2396,L11a475,False
2400,L11a476,False
2404,L11a477,False
2408,L11a478,False
2412,L11a479,False
2416,L11a480,False
2420,L11a481,False
2424,L11a482,False
2428,L11a483,False
2432,L11a484,True
2436,L11a485,True
2440,L11a486,False
2444,L11a487,True
2448,L11a488,False
2452,L11a489,False
2456,L11a490,False
2460,L11a491,False
2464,L11a492,True
2468,L11a493,False
2472,L11a494,True
2476,L11a495,True
2480,L11a496,True
2484,L11a497,False
2488,L11a498,False
2492,L11a499,True
2496,L11a500,False
2500,L11a501,False
2504,L11a502,False
2508,L11a503,False
2512,L11a504,False
2516,L11a505,False
2520,L11a506,False
2524,L11a507,False
2528,L11a508,False
2532,L11a509,False
2536,L11a510,False
2540,L11a511,False
2544,L11a512,False
2548,L11a513,False
2552,L11a514,False
2556,L11a515,False
2560,L11a516,False
2564,L11a517,False
2568,L11a518,False
2572,L11a519,False
2576,L11a520,False
2580,L11a521,False
2584,L11a522,False
2588,L11a523,False
2592,L11a524,False
2596,L11a525,False
2600,L11a526,False
2604,L11a527,False
2608,L11a528,False
2612,L11a529,False
2616,L11a530,False
2620,L11a531,False
2628,L11a532,False
2636,L11a533,False
2644,L11a534,False
2652,L11a535,False
2660,L11a536,False
2668,L11a537,False
2676,L11a538,False
2684,L11a539,False
2692,L11a540,False
2700,L11a541,False
2708,L11a542,False
2716,L11a543,False
2724,L11a544,False
2732,L11a545,False
2740,L11a546,False
2748,L11a547,False
2756,L11a548,False
2772,L11n1,False
2774,L11n2,True
2776,L11n3,True
2778,L11n4,False
2780,L11n5,True
2782,L11n6,True
2784,L11n7,False
2786,L11n8,True
2788,L11n9,True
2790,L11n10,False
2792,L11n11,True
2794,L11n12,True
2796,L11n13,False
2798,L11n14,True
2800,L11n15,True
2802,L11n16,False
2804,L11n17,True
2806,L11n18,True
2808,L11n19,False
2810,L11n20,True
2812,L11n21,True
2814,L11n22,False
2816,L11n23,True
2818,L11n24,True
2820,L11n25,True
2822,L11n26,False
2824,L11n27,True
2826,L11n28,True
2828,L11n29,False
2830,L11n30,True
2832,L11n31,True
2834,L11n32,False
2836,L11n33,True
2838,L11n34,True
2840,L11n35,True
2842,L11n36,False
2844,L11n37,True
2846,L11n38,False
2848,L11n39,True
2850,L11n40,False
2852,L11n41,True
2854,L11n42,False
2856,L11n43,True
2858,L11n44,False
2860,L11n45,True
2862,L11n46,True
2864,L11n47,False
2866,L11n48,True
2868,L11n49,True
2870,L11n50,True
2872,L11n51,True
2874,L11n52,True
2876,L11n53,True
2878,L11n54,False
2880,L11n55,False
2882,L11n56,False
