,name_unoriented,determinant,num_crossings,matrix_zero,components,jones_factorable,jones_determinant,smooth_four_genus,mod8_1
L14n9156,L14n9156,0,14,True,2,True,161,,True
L14n9177,L14n9177,0,14,True,2,True,161,,True
L14n9268,L14n9268,0,14,True,2,True,-47,,True
L14n9282,L14n9282,0,14,True,2,True,41,,True
L14n9390,L14n9390,0,14,True,2,True,-71,,True
L14n9446,L14n9446,0,14,True,2,True,-71,,True
L14n10047,L14n10047,0,14,True,2,True,-47,,True
L14n10048,L14n10048,0,14,True,2,True,41,,True
L14n10461,L14n10461,0,14,True,2,True,-119,,True
L14n11214,L14n11214,0,14,True,2,True,-119,,True
L14n11478,L14n11478,0,14,True,2,True,129,,True
L14n11479,L14n11479,0,14,True,2,True,-135,,True
L14n11488,L14n11488,0,14,True,2,True,-135,,True
L14n11489,L14n11489,0,14,True,2,True,129,,True
L14n11685,L14n11685,0,14,True,2,True,177,,True
L14n11785,L14n11785,0,14,True,2,True,-175,,True
L14n11816,L14n11816,0,14,True,2,True,-175,,True
L14n11817,L14n11817,0,14,True,2,True,177,,True
L14n11991,L14n11991,0,14,True,2,True,-175,,True
L14n12024,L14n12024,0,14,True,2,True,-175,,True
L14n12116,L14n12116,0,14,True,2,True,257,,True
L14n12145,L14n12145,0,14,True,2,True,-143,,True
L14n12364,L14n12364,0,14,True,2,True,-303,,True
L14n12414,L14n12414,0,14,True,2,True,-71,,True
L14n12504,L14n12504,0,14,True,2,True,-143,,True
L14n12538,L14n12538,0,14,True,2,True,-143,,True
L14n12562,L14n12562,0,14,True,2,True,-303,,True
L14n12589,L14n12589,0,14,True,2,True,-71,,True
L14n12598,L14n12598,0,14,True,2,True,-143,,True
L14n12612,L14n12612,0,14,True,2,True,257,,True
L14n12691,L14n12691,0,14,True,2,True,-167,,True
L14n12729,L14n12729,0,14,True,2,True,-239,,True
L14n12796,L14n12796,0,14,True,2,True,-167,,True
L14n12805,L14n12805,0,14,True,2,True,-95,,True
L14n12876,L14n12876,0,14,True,2,True,-95,,True
L14n12883,L14n12883,0,14,True,2,True,-119,,True
L14n17869,L14n17869,0,14,True,2,True,-95,,True
L14n18026,L14n18026,0,14,True,2,True,-287,,True
L14n19768,L14n19768,0,14,True,2,True,-287,,True
L14n23729,L14n23729,0,14,True,2,True,-279,,True
L14n23784,L14n23784,0,14,True,2,True,-71,,True
L14n24426,L14n24426,0,14,True,2,True,-7,,True
L14n24427,L14n24427,0,14,True,2,True,25,,True
L14n25069,L14n25069,0,14,True,2,True,41,,True
L14n25286,L14n25286,0,14,True,2,True,-71,,True
L14n26105,L14n26105,0,14,True,2,True,137,,True
L14n26236,L14n26236,0,14,True,2,True,-23,,True
L14n26677,L14n26677,0,14,True,2,True,-159,,True
L14n26908,L14n26908,0,14,True,2,True,-95,,True
L14n27343,L14n27343,0,14,True,2,True,-143,,True
L14n28013,L14n28013,0,14,True,2,True,-63,,True
L14n28016,L14n28016,0,14,True,2,True,-63,,True
L14n28398,L14n28398,0,14,True,2,True,-119,,True
L14n28630,L14n28630,0,14,True,2,True,-119,,True
L14n28631,L14n28631,0,14,True,2,True,-119,,True
L14n28635,L14n28635,0,14,True,2,True,-119,,True
L14n28754,L14n28754,0,14,True,2,True,-191,,True
L14n28936,L14n28936,0,14,True,2,True,-167,,True
L14n29289,L14n29289,0,14,True,2,True,-351,,True
L14n29366,L14n29366,0,14,True,2,True,89,,True
L14n30011,L14n30011,0,14,True,2,True,-191,,True
L14n30012,L14n30012,0,14,True,2,True,-191,,True
L14n30020,L14n30020,0,14,True,2,True,-143,,True
L14n30032,L14n30032,0,14,True,2,True,-143,,True
L14n30054,L14n30054,0,14,True,2,True,-143,,True
L14n30097,L14n30097,0,14,True,2,True,-215,,True
L14n30103,L14n30103,0,14,True,2,True,-215,,True
L14n30107,L14n30107,0,14,True,2,True,-215,,True
L14n30116,L14n30116,0,14,True,2,True,-191,,True
L14n30180,L14n30180,0,14,True,2,True,-71,,True
L14n30250,L14n30250,0,14,True,2,True,-215,,True
L14n30442,L14n30442,0,14,True,2,True,-215,,True
L14n30629,L14n30629,0,14,True,2,True,-103,,True
L14n30752,L14n30752,0,14,True,2,True,89,,True
L14n30754,L14n30754,0,14,True,2,True,-87,,True
L14n30755,L14n30755,0,14,True,2,True,9,,True
L14n30756,L14n30756,0,14,True,2,True,105,,True
L14n30780,L14n30780,0,14,True,2,True,-87,,True
L14n30782,L14n30782,0,14,True,2,True,49,,True
L14n30784,L14n30784,0,14,True,2,True,73,,True
L14n30785,L14n30785,0,14,True,2,True,-39,,True
L14n30786,L14n30786,0,14,True,2,True,57,,True
L14n30789,L14n30789,0,14,True,2,True,-47,,True
L14n31090,L14n31090,0,14,True,2,True,257,,True
L14n31168,L14n31168,0,14,True,2,True,-39,,True
L14n31181,L14n31181,0,14,True,2,True,-103,,True
L14n31231,L14n31231,0,14,True,2,True,73,,True
L14n31232,L14n31232,0,14,True,2,True,-87,,True
L14n31264,L14n31264,0,14,True,2,True,-55,,True
L14n31284,L14n31284,0,14,True,2,True,41,,True
L14n31302,L14n31302,0,14,True,2,True,25,,True
L14n31315,L14n31315,0,14,True,2,True,57,,True
L14n31316,L14n31316,0,14,True,2,True,-71,,True
L14n31371,L14n31371,0,14,True,2,True,89,,True
L14n31381,L14n31381,0,14,True,2,True,89,,True
L14n31593,L14n31593,0,14,True,2,True,73,,True
L14n31605,L14n31605,0,14,True,2,True,81,,True
L14n31606,L14n31606,0,14,True,2,True,-79,,True
L14n31608,L14n31608,0,14,True,2,True,-47,,True
L14n31985,L14n31985,0,14,True,2,True,-191,,True
L14n32145,L14n32145,0,14,True,2,True,-143,,True
L14n32153,L14n32153,0,14,True,2,True,97,,True
L14n32154,L14n32154,0,14,True,2,True,-95,,True
L14n32388,L14n32388,0,14,True,2,True,137,,True
L14n32416,L14n32416,0,14,True,2,True,-143,,True
L14n32465,L14n32465,0,14,True,2,True,-143,,True
L14n32568,L14n32568,0,14,True,2,True,-111,,True
L14n32569,L14n32569,0,14,True,2,True,113,,True
L14n33194,L14n33194,0,14,True,2,True,-143,,True
L14n33264,L14n33264,0,14,True,2,True,-127,,True
L14n33395,L14n33395,0,14,True,2,True,-191,,True
L14n33400,L14n33400,0,14,True,2,True,-191,,True
L14n33541,L14n33541,0,14,True,2,True,145,,True
L14n33764,L14n33764,0,14,True,2,True,-191,,True
L14n33772,L14n33772,0,14,True,2,True,-191,,True
L14n33803,L14n33803,0,14,True,2,True,65,,True
L14n33870,L14n33870,0,14,True,2,True,-143,,True
L14n34422,L14n34422,0,14,True,2,True,81,,True
L14n34637,L14n34637,0,14,True,2,True,-191,,True
L14n34651,L14n34651,0,14,True,2,True,-79,,True
L14n37006,L14n37006,0,14,True,2,True,-143,,True
L14n37092,L14n37092,0,14,True,2,True,-143,,True
L14n37100,L14n37100,0,14,True,2,True,-79,,True
L14n37664,L14n37664,0,14,True,2,True,-191,,True
L14n37692,L14n37692,0,14,True,2,True,-159,,True
L14n37694,L14n37694,0,14,True,2,True,161,,True
L14n37993,L14n37993,0,14,True,2,True,97,,True
L14n38074,L14n38074,0,14,True,2,True,-95,,True
L14n38233,L14n38233,0,14,True,2,True,-95,,True
L14n38266,L14n38266,0,14,True,2,True,-143,,True
L14n38271,L14n38271,0,14,True,2,True,-143,,True
L14n38362,L14n38362,0,14,True,2,True,-95,,True
L14n38364,L14n38364,0,14,True,2,True,-287,,True
L14n38403,L14n38403,0,14,True,2,True,-207,,True
L14n38409,L14n38409,0,14,True,2,True,-287,,True
L14n38410,L14n38410,0,14,True,2,True,-287,,True
L14n38511,L14n38511,0,14,True,2,True,-239,,True
L14n38526,L14n38526,0,14,True,2,True,-239,,True
L14n38799,L14n38799,0,14,True,2,True,-287,,True
L14n38879,L14n38879,0,14,True,2,True,-287,,True
L14n38901,L14n38901,0,14,True,2,True,-143,,True
L14n38932,L14n38932,0,14,True,2,True,-71,,True
L14n38934,L14n38934,0,14,True,2,True,-7,,True
L14n38935,L14n38935,0,14,True,2,True,25,,True
L14n38940,L14n38940,0,14,True,2,True,41,,True
L14n38954,L14n38954,0,14,True,2,True,-23,,True
L14n38979,L14n38979,0,14,True,2,True,89,,True
L14n39041,L14n39041,0,14,True,2,True,-55,,True
L14n39045,L14n39045,0,14,True,2,True,73,,True
L14n39058,L14n39058,0,14,True,2,True,-71,,True
L14n39113,L14n39113,0,14,True,2,True,-119,,True
L14n39200,L14n39200,0,14,True,2,True,-351,,True
L14n39205,L14n39205,0,14,True,2,True,-167,,True
L14n39209,L14n39209,0,14,True,2,True,-167,,True
L14n39222,L14n39222,0,14,True,2,True,-119,,True
L14n39328,L14n39328,0,14,True,2,True,41,,True
L14n39366,L14n39366,0,14,True,2,True,-71,,True
L14n39377,L14n39377,0,14,True,2,True,-143,,True
L14n39390,L14n39390,0,14,True,2,True,-215,,True
L14n39451,L14n39451,0,14,True,2,True,-279,,True
L14n39497,L14n39497,0,14,True,2,True,-215,,True
L14n39517,L14n39517,0,14,True,2,True,-215,,True
L14n39520,L14n39520,0,14,True,2,True,-215,,True
L14n39525,L14n39525,0,14,True,2,True,-215,,True
L14n39624,L14n39624,0,14,True,2,True,161,,True
L14n39802,L14n39802,0,14,True,2,True,-95,,True
L14n39804,L14n39804,0,14,True,2,True,-287,,True
L14n39807,L14n39807,0,14,True,2,True,-287,,True
L14n39822,L14n39822,0,14,True,2,True,-87,,True
L14n39871,L14n39871,0,14,True,2,True,-287,,True
L14n39896,L14n39896,0,14,True,2,True,-143,,True
L14n39921,L14n39921,0,14,True,2,True,-95,,True
L14n39958,L14n39958,0,14,True,2,True,-23,,True
L14n39967,L14n39967,0,14,True,2,True,-95,,True
L14n39992,L14n39992,0,14,True,2,True,-143,,True
L14n39993,L14n39993,0,14,True,2,True,145,,True
L14n40013,L14n40013,0,14,True,2,True,-95,,True
L14n40045,L14n40045,0,14,True,2,True,81,,True
L14n40047,L14n40047,0,14,True,2,True,81,,True
L14n52847,L14n52847,0,14,True,3,True,73,,True
L14n52922,L14n52922,0,14,True,3,True,73,,True
L14n52934,L14n52934,0,14,True,3,True,73,,True
L14n53120,L14n53120,0,14,True,3,True,73,,True
L14n53143,L14n53143,0,14,True,3,True,73,,True
