,name_unoriented,determinant,num_crossings,matrix_zero,components,jones_factorable,jones_determinant,smooth_four_genus
L14n37694,L14n37694,0,14,True,2,True,161,
L14n37905,L14n37905,0,14,True,2,True,-147,
L14n37907,L14n37907,0,14,True,2,True,141,
L14n37992,L14n37992,0,14,True,2,True,-99,
L14n37993,L14n37993,0,14,True,2,True,97,
L14n38071,L14n38071,0,14,True,2,True,93,
L14n38074,L14n38074,0,14,True,2,True,-95,
L14n38233,L14n38233,0,14,True,2,True,-95,
L14n38266,L14n38266,0,14,True,2,True,-143,
L14n38271,L14n38271,0,14,True,2,True,-143,
L14n38362,L14n38362,0,14,True,2,True,-95,
L14n38364,L14n38364,0,14,True,2,True,-287,
L14n38403,L14n38403,0,14,True,2,True,-207,
L14n38409,L14n38409,0,14,True,2,True,-287,
L14n38410,L14n38410,0,14,True,2,True,-287,
L14n38511,L14n38511,0,14,True,2,True,-239,
L14n38526,L14n38526,0,14,True,2,True,-239,
L14n38799,L14n38799,0,14,True,2,True,-287,
L14n38879,L14n38879,0,14,True,2,True,-287,
L14n38901,L14n38901,0,14,True,2,True,-143,
L14n38932,L14n38932,0,14,True,2,True,-71,
L14n38934,L14n38934,0,14,True,2,True,-7,
L14n38935,L14n38935,0,14,True,2,True,25,
L14n38940,L14n38940,0,14,True,2,True,41,
L14n38954,L14n38954,0,14,True,2,True,-23,
L14n38979,L14n38979,0,14,True,2,True,89,
L14n39041,L14n39041,0,14,True,2,True,-55,
L14n39045,L14n39045,0,14,True,2,True,73,
L14n39048,L14n39048,0,14,True,2,True,61,
L14n39051,L14n39051,0,14,True,2,True,-67,
L14n39058,L14n39058,0,14,True,2,True,-71,
L14n39091,L14n39091,0,14,True,2,True,141,
L14n39104,L14n39104,0,14,True,2,True,-99,
L14n39106,L14n39106,0,14,True,2,True,93,
L14n39113,L14n39113,0,14,True,2,True,-119,
L14n39200,L14n39200,0,14,True,2,True,-351,
L14n39205,L14n39205,0,14,True,2,True,-167,
L14n39209,L14n39209,0,14,True,2,True,-167,
L14n39222,L14n39222,0,14,True,2,True,-119,
L14n39252,L14n39252,0,14,True,2,True,253,
L14n39282,L14n39282,0,14,True,2,True,-67,
L14n39323,L14n39323,0,14,True,2,True,-35,
L14n39328,L14n39328,0,14,True,2,True,41,
L14n39366,L14n39366,0,14,True,2,True,-71,
L14n39377,L14n39377,0,14,True,2,True,-143,
L14n39390,L14n39390,0,14,True,2,True,-215,
L14n39451,L14n39451,0,14,True,2,True,-279,
L14n39497,L14n39497,0,14,True,2,True,-215,
L14n39517,L14n39517,0,14,True,2,True,-215,
L14n39520,L14n39520,0,14,True,2,True,-215,
L14n39525,L14n39525,0,14,True,2,True,-215,
L14n39624,L14n39624,0,14,True,2,True,161,
L14n39802,L14n39802,0,14,True,2,True,-95,
L14n39804,L14n39804,0,14,True,2,True,-287,
L14n39807,L14n39807,0,14,True,2,True,-287,
L14n39822,L14n39822,0,14,True,2,True,-87,
L14n39871,L14n39871,0,14,True,2,True,-287,
L14n39896,L14n39896,0,14,True,2,True,-143,
L14n39921,L14n39921,0,14,True,2,True,-95,
L14n39958,L14n39958,0,14,True,2,True,-23,
L14n39962,L14n39962,0,14,True,2,True,29,
L14n39967,L14n39967,0,14,True,2,True,-95,
L14n39970,L14n39970,0,14,True,2,True,-51,
L14n39971,L14n39971,0,14,True,2,True,45,
L14n39981,L14n39981,0,14,True,2,True,93,
L14n39992,L14n39992,0,14,True,2,True,-143,
L14n39993,L14n39993,0,14,True,2,True,145,
L14n40013,L14n40013,0,14,True,2,True,-95,
L14n40045,L14n40045,0,14,True,2,True,81,
L14n40047,L14n40047,0,14,True,2,True,81,
L14n52847,L14n52847,0,14,True,3,True,73,
L14n52922,L14n52922,0,14,True,3,True,73,
L14n52934,L14n52934,0,14,True,3,True,73,
L14n53120,L14n53120,0,14,True,3,True,73,
L14n53143,L14n53143,0,14,True,3,True,73,
